iter	RMSE
128	293.4012115
129	292.724038
130	292.0368164
131	291.3353446
132	290.6950654
133	290.1875176
134	289.5906888
135	289.0170817
136	288.5491599
137	287.8662452
138	287.3503137
139	286.7781543
140	286.1427167
141	285.4267224
142	284.8113398
143	284.361805
144	283.9776754
145	283.4881348
146	283.092825
147	282.5662037
148	282.1005159
149	281.5533464
150	281.0169174
151	280.5329785
152	280.0986448
153	279.5928777
154	279.0531781
155	278.6510225
156	278.0317378
157	277.592199
158	277.0558383
159	276.5651437
160	276.0622148
161	275.7147418
162	275.2845876
163	274.843612
164	274.340263
165	273.8902793
166	273.2830784
167	272.7775082
168	272.3618475
169	271.8027824
170	271.3206617
171	271.0029548
172	270.5869956
173	270.1613747
174	269.8314871
175	269.3185411
176	268.8002995
177	268.3384056
178	267.8816236
179	267.4969657
180	267.107528
181	266.642822
182	266.358209
183	265.9535759
184	265.595197
185	265.2585371
186	264.9622474
187	264.540819
188	264.201075
189	263.8158199
190	263.4897767
191	263.1405902
192	262.8476742
193	262.3640654
194	261.9881422
195	261.5097388
196	261.2197452
197	260.7965555
198	260.4769982
199	260.0414439
200	259.5530035
201	259.2132924
202	258.9158518
203	258.4502677
204	258.0346611
205	257.7270747
206	257.4095149
207	257.0302558
208	256.6253083
209	256.3766308
210	256.0586575
211	255.7021109
212	255.3948681
213	255.2266221
214	254.7595398
215	254.5360873
216	254.3964936
217	253.9256928
218	253.5811712
219	253.1708601
220	252.9003422
221	252.5228495
222	252.1903334
223	252.0034899
224	251.7452503
225	251.4908748
226	251.2069616
227	250.6987753
228	250.3749541
229	250.2633512
230	249.8710795
231	249.5401603
232	249.1967848
233	248.953121
234	248.6114276
235	248.3153894
236	247.9821447
237	247.7295627
238	247.6421881
239	247.533538
240	247.339891
241	247.0809585
242	246.7680339
243	246.5066616
244	246.3124394
245	246.1097473
246	245.8800693
247	245.5400565
248	245.2387951
249	244.8583663
250	244.6529263
251	244.579802
252	244.3264123
253	244.0029217
254	243.7054345
255	243.4283482
256	243.155041
257	242.7048975
258	242.4766725
259	242.2017647
260	241.8371943
261	241.4564275
262	241.2927882
263	241.1959086
264	241.0349303
265	240.7965591
266	240.4880982
267	240.1500218
268	239.8812583
269	239.6860068
270	239.5586727
271	239.3507539
272	238.9795707
273	238.843487
274	238.6588983
275	238.395874
276	238.1418454
277	237.9005052
278	237.6516256
279	237.5026127
280	237.3718483
281	237.1470411
282	237.0464972
283	236.8437723
284	236.6420531
285	236.3942245
286	235.9346421
287	235.7266815
288	235.4166739
289	235.1393037
290	234.9138319
291	234.5929679
292	234.513801
293	234.2413534
294	234.0431355
295	233.8045464
296	233.6417686
297	233.3985277
298	233.3116365
299	233.0302038
300	232.8906684
301	232.6881355
302	232.4430887
303	232.2325701
304	231.9497721
305	231.6354236
306	231.3812912
307	231.1185771
308	230.8772422
309	230.6206799
310	230.3855181
311	230.2332412
312	229.9762127
313	229.7043279
314	229.6190554
315	229.4404849
316	229.2425608
317	228.9400089
318	228.763086
319	228.5420001
320	228.4659518
321	228.1278844
322	228.0309061
323	227.8372418
324	227.5743076
325	227.2775269
326	226.9933554
327	226.8366913
328	226.5799596
329	226.4300181
330	226.361077
331	226.2393018
332	226.0530849
333	225.9000882
334	225.6470673
335	225.5005918
336	225.2844883
337	225.1408748
338	224.9170506
339	224.7787004
340	224.709947
341	224.4952194
342	224.210505
343	223.9401712
344	223.7444152
345	223.5429396
346	223.3179859
347	223.0806915
348	222.8776877
349	222.680705
350	222.5257502
351	222.3935391
352	222.177796
353	221.833474
354	221.6478317
355	221.4603823
356	221.2332863
357	221.050843
358	220.9465817
359	220.8306144
360	220.5967861
361	220.4304843
362	220.1765199
363	220.0727153
364	219.8863791
365	219.6115137
366	219.3607035
367	219.2359959
368	219.0726427
369	218.8692923
370	218.7227684
371	218.5157736
372	218.3617148
373	218.1821011
374	217.9241793
375	217.7298095
376	217.5639492
377	217.4284204
378	217.3124298
379	217.1702932
380	216.9978225
381	216.7966367
382	216.6365965
383	216.4546955
384	216.1822989
385	216.0678467
386	215.8821418
387	215.5777136
388	215.4757917
389	215.3407136
390	215.0844207
391	214.8804731
392	214.7575353
393	214.624212
394	214.4144264
395	214.1656556
396	214.032692
397	213.792576
398	213.5295573
399	213.4355986
400	213.2320399
401	213.1066076
402	212.9621863
403	212.8007082
404	212.6272468
405	212.5117162
406	212.42786
407	212.1906409
408	212.0338284
409	211.8512186
410	211.5698537
411	211.4968913
412	211.3589492
413	211.297751
414	211.0372956
415	210.8478812
416	210.7132611
417	210.4652874
418	210.2883369
419	210.1508384
420	209.9972652
421	209.9273968
422	209.7331354
423	209.5496347
424	209.3574166
425	209.1566509
426	209.0121313
427	208.88551
428	208.6724124
429	208.4792855
430	208.3264916
431	208.2094875
432	207.9731084
433	207.8277633
434	207.6782328
435	207.6094509
436	207.4834792
437	207.4054318
438	207.3231385
439	207.1433857
440	207.0246523
441	206.8292311
442	206.6614653
443	206.5212941
444	206.3795748
445	206.2569954
446	206.0306768
447	205.9227435
448	205.7517081
449	205.5305842
450	205.4437762
451	205.2625861
452	205.1075644
453	205.0214058
454	204.9017026
455	204.677196
456	204.4726976
457	204.3081248
458	204.0604879
459	203.934481
460	203.7945266
461	203.6907871
462	203.4779114
463	203.4289784
464	203.3754586
465	203.2061834
466	203.0893799
467	202.9111319
468	202.7714741
469	202.6342258
470	202.5019596
471	202.4107484
472	202.2394709
473	202.0583013
474	201.9047924
475	201.7842761
476	201.6013847
477	201.4278212
478	201.3520916
479	201.2362577
480	201.0877006
481	201.0326655
482	200.806677
483	200.7256003
484	200.6845933
485	200.5405085
486	200.4036514
487	200.2015644
488	200.1366691
489	200.0742076
490	199.9713496
491	199.8661859
492	199.7656295
493	199.6795518
494	199.5459868
495	199.4692333
496	199.2556615
497	199.1215179
498	199.0241449
499	198.8474902
