iter	Logloss
0	0.6870316238
1	0.6824669669
2	0.6766020336
3	0.6715089162
4	0.6671648216
5	0.6619180846
6	0.6575029865
7	0.6526165505
8	0.6475070257
9	0.6429791627
10	0.6377006781
11	0.6327077205
12	0.6286732838
13	0.6244817825
14	0.6198272811
15	0.6158995296
16	0.612586755
17	0.6090789343
18	0.6050985951
19	0.6016690403
20	0.597999039
21	0.5937963332
22	0.5907776706
23	0.5877570702
24	0.5844640732
25	0.5813338135
26	0.5775732907
27	0.5738181195
28	0.5713514036
29	0.5683153439
30	0.5653756422
31	0.560500142
32	0.5573265607
33	0.5537404657
34	0.5509362891
35	0.5476542015
36	0.5437671398
37	0.5403032767
38	0.5371129495
39	0.5346935039
40	0.5316147296
41	0.5285281449
42	0.5259040358
43	0.5231351369
44	0.5207227985
45	0.517956824
46	0.5152586773
47	0.5129108785
48	0.5104204428
49	0.5073821106
50	0.505670707
51	0.5035192636
52	0.5012428928
53	0.4993056516
54	0.4970531178
55	0.4944225879
56	0.4923779936
57	0.4902723261
58	0.4883472735
59	0.4864810331
60	0.4847521251
61	0.4836401015
62	0.4819621785
63	0.4792291299
64	0.4779484139
65	0.4760928887
66	0.4738677931
67	0.4718685496
68	0.4693229354
69	0.4670469701
70	0.4654432501
71	0.463199377
72	0.4615840761
73	0.4602717102
74	0.4580129615
75	0.4567052186
76	0.4549065993
77	0.4533414509
78	0.4515362403
79	0.4497450835
80	0.44761054
81	0.4463159092
82	0.4445363297
83	0.4426268998
84	0.4406933967
85	0.4388530055
86	0.436863124
87	0.4354774137
88	0.4335040814
89	0.4320082644
90	0.4301961496
91	0.4289355896
92	0.427820783
93	0.426422643
94	0.4254803674
95	0.4238233712
96	0.4221519796
97	0.4209832229
98	0.4193689374
99	0.4182820108
100	0.4168516608
101	0.4154023656
102	0.4142453234
103	0.4129705044
104	0.4118439421
105	0.4103354162
106	0.4089982866
107	0.4073682011
108	0.4056137135
109	0.4042763032
110	0.40296523
111	0.4019010554
112	0.4004016693
113	0.3986137938
114	0.3972071336
115	0.3956227982
116	0.3942285308
117	0.3926196293
118	0.391700986
119	0.3906957187
120	0.3898755482
121	0.3889363451
122	0.3882174877
123	0.3873233371
124	0.3860272447
125	0.3849370037
126	0.3838132267
127	0.3825931071
128	0.3814237498
129	0.380210098
130	0.3793230236
131	0.378410709
132	0.3772962842
133	0.376398358
134	0.3755803589
135	0.3743334159
136	0.3737307789
137	0.372461829
138	0.3713289432
139	0.3701114991
140	0.3689129979
141	0.3679854265
142	0.366981756
143	0.3657442291
144	0.3650323911
145	0.364013031
146	0.3630895435
147	0.3622983776
148	0.3613229493
149	0.360213703
150	0.3591255384
151	0.3586244759
152	0.3577873591
153	0.3569054483
154	0.3559009862
155	0.3551043257
156	0.3540137328
157	0.3531528376
158	0.3518791536
159	0.3508023291
160	0.3497964337
161	0.3485865768
162	0.3478483395
163	0.3470655864
164	0.3464720986
165	0.3457631692
166	0.3453117867
167	0.3446611908
168	0.3440865585
169	0.3431489297
170	0.3425347603
171	0.3419037983
172	0.341093595
173	0.3404155847
174	0.3394862423
175	0.3388731344
176	0.338417582
177	0.3372176157
178	0.3359925958
179	0.335198442
180	0.3343840654
181	0.3334251849
182	0.3327601066
183	0.3321558331
184	0.331254788
185	0.3300846232
186	0.329468079
187	0.3288259094
188	0.3282131123
189	0.3273987003
190	0.3265635774
191	0.3256622387
192	0.3251319548
193	0.3241487687
194	0.3233649477
195	0.3225689705
196	0.322052455
197	0.3215771831
198	0.3207584352
199	0.3200684306
